open_time,day,direction,entry_signal,entry_real,slippage,atr,sl,tp1,risk,ema200,trend,vol_ratio,squeeze_ok,position,result,exit_px,pnl,daily_pnl,tp1_hit,hour
2025-05-21 18:00:00,2025-05-21,BUY,108964.62,108997.03,32.41,805.13,107354.36,112185.14,1610.26,104616.71,BULL,2.41,True,P1,SL,107386.77,-16.1026,-32.2052,False,18
2025-05-21 18:00:00,2025-05-21,BUY,108964.62,108997.03,32.41,805.13,107354.36,112185.14,1610.26,104616.71,BULL,2.41,True,P2,SL_TRAIL,107386.77,-16.1026,-32.2052,False,18
2025-05-26 01:00:00,2025-05-26,BUY,109153.61,109183.29,29.68,603.28,107947.05,111566.73,1206.56,107238.54,BULL,2.169,True,P1,SL,107976.73,-12.0656,-24.1312,False,1
2025-05-26 01:00:00,2025-05-26,BUY,109153.61,109183.29,29.68,603.28,107947.05,111566.73,1206.56,107238.54,BULL,2.169,True,P2,SL_TRAIL,107976.73,-12.0656,-24.1312,False,1
2025-06-05 19:00:00,2025-06-05,SELL,103258.09,103243.06,15.03,597.92,104453.93,100866.41,1195.84,105750.74,BEAR,2.893,True,P1,TP1,100851.38,23.9168,23.9168,True,19
2025-06-05 19:00:00,2025-06-05,SELL,103258.09,103243.06,15.03,597.92,104453.93,100866.41,1195.84,105750.74,BEAR,2.893,True,P2,BE,103243.06,0.0,23.9168,True,19
2025-06-21 21:00:00,2025-06-21,SELL,102641.17,102626.21,14.96,325.0,103291.17,101341.17,650.0,105326.26,BEAR,1.566,True,P1,TP1,101326.21,13.0,13.0,True,21
2025-06-21 21:00:00,2025-06-21,SELL,102641.17,102626.21,14.96,325.0,103291.17,101341.17,650.0,105326.26,BEAR,1.566,True,P2,BE,102626.21,0.0,13.0,True,21
2025-06-22 17:00:00,2025-06-22,SELL,99620.94,99605.68,15.26,770.8,101162.54,96537.74,1541.6,104678.36,BEAR,2.269,True,P1,SL,101147.28,-15.416,-30.832,False,17
2025-06-22 17:00:00,2025-06-22,SELL,99620.94,99605.68,15.26,770.8,101162.54,96537.74,1541.6,104678.36,BEAR,2.269,True,P2,SL_TRAIL,101147.28,-15.416,-30.832,False,17
2025-07-06 16:00:00,2025-07-06,BUY,108769.45,108795.83,26.38,223.87,108321.71,109664.93,447.74,108034.53,BULL,2.47,True,P1,SL,108348.09,-4.4774,-8.9548,False,16
2025-07-06 16:00:00,2025-07-06,BUY,108769.45,108795.83,26.38,223.87,108321.71,109664.93,447.74,108034.53,BULL,2.47,True,P2,SL_TRAIL,108348.09,-4.4774,-8.9548,False,16
2025-07-09 22:00:00,2025-07-09,BUY,111743.13,111774.17,31.04,552.33,110638.47,113952.45,1104.66,108408.21,BULL,2.32,True,P1,SL,110669.51,-11.0466,-22.0932,False,22
2025-07-09 22:00:00,2025-07-09,BUY,111743.13,111774.17,31.04,552.33,110638.47,113952.45,1104.66,108408.21,BULL,2.32,True,P2,SL_TRAIL,110669.51,-11.0466,-22.0932,False,22
2025-07-10 19:00:00,2025-07-10,BUY,112631.54,112662.59,31.05,395.26,111841.02,114212.58,790.52,108998.97,BULL,2.349,True,P1,TP1,114243.63,15.8104,74.3068,True,19
2025-07-10 19:00:00,2025-07-10,BUY,112631.54,112662.59,31.05,395.26,111841.02,114212.58,790.52,108998.97,BULL,2.349,True,P2,OPEN_END,118512.23,58.4964,74.3068,True,19
2025-07-31 22:00:00,2025-07-31,SELL,116773.65,116755.85,17.8,522.18,117818.01,114684.93,1044.36,118088.64,BEAR,1.968,True,P1,TP1,114667.13,20.8872,45.2455,True,22
2025-07-31 22:00:00,2025-07-31,SELL,116773.65,116755.85,17.8,522.18,117818.01,114684.93,1044.36,118088.64,BEAR,1.968,True,P2,OPEN_END,114320.02,24.3583,45.2455,True,22
2025-08-02 21:00:00,2025-08-02,SELL,112325.0,112310.07,14.93,487.18,113299.36,110376.28,974.36,116713.27,BEAR,2.47,True,P1,SL,113284.43,-9.7436,-19.4872,False,21
2025-08-02 21:00:00,2025-08-02,SELL,112325.0,112310.07,14.93,487.18,113299.36,110376.28,974.36,116713.27,BEAR,2.47,True,P2,SL_TRAIL,113284.43,-9.7436,-19.4872,False,21
2025-08-07 13:00:00,2025-08-07,BUY,116330.11,116363.94,33.83,392.61,115544.89,117900.55,785.22,115260.44,BULL,1.924,True,P1,TP1,117934.38,15.7044,32.1368,True,13
2025-08-07 13:00:00,2025-08-07,BUY,116330.11,116363.94,33.83,392.61,115544.89,117900.55,785.22,115260.44,BULL,1.924,True,P2,OPEN_END,118007.18,16.4324,32.1368,True,13
2025-08-13 16:00:00,2025-08-13,BUY,121752.62,121785.63,33.01,587.02,120578.58,124100.7,1174.04,117669.42,BULL,1.736,True,P1,SL,120611.59,-11.7404,-23.4808,False,16
2025-08-13 16:00:00,2025-08-13,BUY,121752.62,121785.63,33.01,587.02,120578.58,124100.7,1174.04,117669.42,BULL,1.736,True,P2,SL_TRAIL,120611.59,-11.7404,-23.4808,False,16
2025-08-22 17:00:00,2025-08-22,BUY,115791.66,115821.14,29.48,775.99,114239.68,118895.62,1551.98,115455.84,BULL,4.665,True,P1,SL,114269.16,-15.5198,-31.0396,False,17
2025-08-22 17:00:00,2025-08-22,BUY,115791.66,115821.14,29.48,775.99,114239.68,118895.62,1551.98,115455.84,BULL,4.665,True,P2,SL_TRAIL,114269.16,-15.5198,-31.0396,False,17
2025-09-12 03:00:00,2025-09-12,BUY,115831.62,115863.63,32.01,574.65,114682.32,118130.22,1149.3,111985.24,BULL,1.514,True,P1,OPEN_END,115064.06,-7.9957,-15.9914,False,3
2025-09-12 03:00:00,2025-09-12,BUY,115831.62,115863.63,32.01,574.65,114682.32,118130.22,1149.3,111985.24,BULL,1.514,True,P2,OPEN_END,115064.06,-7.9957,-15.9914,False,3
2025-09-16 20:00:00,2025-09-16,BUY,116448.94,116481.0,32.06,475.75,115497.44,118351.94,951.5,114505.68,BULL,1.807,True,P1,SL,115529.5,-9.515,-19.03,False,20
2025-09-16 20:00:00,2025-09-16,BUY,116448.94,116481.0,32.06,475.75,115497.44,118351.94,951.5,114505.68,BULL,1.807,True,P2,SL_TRAIL,115529.5,-9.515,-19.03,False,20
2025-09-22 03:00:00,2025-09-22,SELL,114386.63,114371.6,15.03,290.23,114967.09,113225.71,580.46,115774.61,BEAR,3.335,True,P1,TP1,113210.68,11.6092,24.6443,True,3
2025-09-22 03:00:00,2025-09-22,SELL,114386.63,114371.6,15.03,290.23,114967.09,113225.71,580.46,115774.61,BEAR,3.335,True,P2,OPEN_END,113068.09,13.0351,24.6443,True,3
2025-10-03 18:00:00,2025-10-03,BUY,122261.32,122293.38,32.06,544.48,121172.36,124439.24,1088.96,115121.07,BULL,2.266,True,P1,TP1,124471.3,21.7792,48.7473,True,18
2025-10-03 18:00:00,2025-10-03,BUY,122261.32,122293.38,32.06,544.48,121172.36,124439.24,1088.96,115121.07,BULL,2.266,True,P2,OPEN_END,124990.19,26.9681,48.7473,True,18
